wdbc_exercise.html:89 Epoch: 0,     Loss: 0.22510984539985657,      Accuracy: 0.8879120349884033
wdbc_exercise.html:89 Epoch: 1,     Loss: 0.0968942865729332,      Accuracy: 0.9736263155937195
wdbc_exercise.html:89 Epoch: 2,     Loss: 0.06958145648241043,      Accuracy: 0.9824175238609314
wdbc_exercise.html:89 Epoch: 3,     Loss: 0.04870269447565079,      Accuracy: 0.9890109300613403
wdbc_exercise.html:89 Epoch: 4,     Loss: 0.07450518012046814,      Accuracy: 0.9780219197273254
wdbc_exercise.html:89 Epoch: 5,     Loss: 0.0692673772573471,      Accuracy: 0.9758241176605225
wdbc_exercise.html:89 Epoch: 6,     Loss: 0.0501151941716671,      Accuracy: 0.9868131279945374
wdbc_exercise.html:89 Epoch: 7,     Loss: 0.03561946004629135,      Accuracy: 0.9912087321281433
wdbc_exercise.html:89 Epoch: 8,     Loss: 0.05991346761584282,      Accuracy: 0.9824175238609314
wdbc_exercise.html:89 Epoch: 9,     Loss: 0.04105803370475769,      Accuracy: 0.9868131279945374
wdbc_exercise.html:89 Epoch: 10,     Loss: 0.03620276227593422,      Accuracy: 0.9868131279945374
wdbc_exercise.html:89 Epoch: 11,     Loss: 0.04150540009140968,      Accuracy: 0.9868131279945374
wdbc_exercise.html:89 Epoch: 12,     Loss: 0.030949678272008896,      Accuracy: 0.9846153259277344
wdbc_exercise.html:89 Epoch: 13,     Loss: 0.02578267641365528,      Accuracy: 0.9934065341949463
wdbc_exercise.html:89 Epoch: 14,     Loss: 0.0148899145424366,      Accuracy: 0.9956043362617493
wdbc_exercise.html:89 Epoch: 15,     Loss: 0.011620963923633099,      Accuracy: 0.9978021383285522
wdbc_exercise.html:89 Epoch: 16,     Loss: 0.006421695463359356,      Accuracy: 0.9978021383285522
wdbc_exercise.html:89 Epoch: 17,     Loss: 0.018585016950964928,      Accuracy: 0.9934065341949463
wdbc_exercise.html:89 Epoch: 18,     Loss: 0.002217518864199519,      Accuracy: 0.9999999403953552
wdbc_exercise.html:89 Epoch: 19,     Loss: 0.02288980223238468,      Accuracy: 0.9978021383285522
wdbc_exercise.html:89 Epoch: 20,     Loss: 0.0406060628592968,      Accuracy: 0.9956043362617493
wdbc_exercise.html:89 Epoch: 21,     Loss: 0.043491460382938385,      Accuracy: 0.9934065341949463
wdbc_exercise.html:89 Epoch: 22,     Loss: 0.011192169040441513,      Accuracy: 0.9956043362617493
wdbc_exercise.html:89 Epoch: 23,     Loss: 0.009365412406623363,      Accuracy: 0.9956043362617493
wdbc_exercise.html:89 Epoch: 24,     Loss: 0.012499457225203514,      Accuracy: 0.9978021383285522
wdbc_exercise.html:89 Epoch: 25,     Loss: 0.020540134981274605,      Accuracy: 0.9956043362617493
wdbc_exercise.html:89 Epoch: 26,     Loss: 0.002896403893828392,      Accuracy: 0.9978021383285522
wdbc_exercise.html:89 Epoch: 27,     Loss: 0.00038133934140205383,      Accuracy: 0.9999999403953552
wdbc_exercise.html:89 Epoch: 28,     Loss: 0.00018434754747431725,      Accuracy: 0.9999999403953552
wdbc_exercise.html:89 Epoch: 29,     Loss: 0.00013801557361148298,      Accuracy: 0.9999999403953552
